Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code) 
14119;887135;Bac ES;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;3120003H;Lycée français Blaise Pascal;Lubumbashi;99;République Démocratique du Congo;99312;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;29/03/2018;Oui;1
14084;725520;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0150006A;Lycée Jean Monnet - Mermoz;Aurillac;15;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;;Non;0
14114;416925;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;31/03/2018;Oui;1
14084;1177792;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Lycée à classe postbac;1;0831646N;Lycée du Val d'Argens;Le Muy;83;France;99100;;;;Scientifique;S;2;Sciences de l'ingénieur;Physique-chimie;32;31/03/2018;Oui;1
14084;260281;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190011J;Lycée d'Arsonval;Brive-la-Gaillarde;19;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;31/03/2018;Oui;1
14118;193608;Bac L;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0650025Z;Lycée Théophile Gautier;Tarbes;65;France;99100;L;Droits et grands enjeux du monde contemporain;351;Littéraire;L;;;Droits et grands enjeux du monde contemporain;351;28/03/2018;Oui;1
14114;265620;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160004T;Lycée Charles A. COULOMB;Angoulême;16;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;25/03/2018;Oui;1
14084;244351;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0150646W;Lycée Emile Duclaux;Aurillac;15;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;28/03/2018;Oui;1
14114;798102;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0331556M;Lycée Ste Famille - Saintonge;Bordeaux;33;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;;Non;0
14084;417126;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240035H;Lycée Pre De Cordy;Sarlat-la-Canéda;24;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;26/03/2018;Oui;1
14084;261874;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0360043B;Lycée Blaise Pascal;Châteauroux;36;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;30/03/2018;Oui;1
14114;520308;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0030026M;Lycée Paul Constans;Montluçon;3;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
14119;486672;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0530016E;Lycée Lavoisier;Mayenne;53;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;30/03/2018;Oui;1
14119;167172;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870016V;Lycée Leonard Limosin;Limoges;87;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;;Non;0
14084;302849;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;1090009T;Lycée français de Francfort;Francfort-sur-le-Main;99;Allemagne;99109;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;31/03/2018;Oui;1
101103;206783;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0330028B;Lycée Gustave Eiffel;Bordeaux;33;France;99100;STMG;Systèmes d'information et de gestion;538;Sciences et Technologies du Management et de la Gestion;STMG;;;Systèmes d'information et de gestion;538;31/03/2018;Oui;1
14084;459459;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160022M;Lycée Emile Roux;Confolens;16;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;28/03/2018;Oui;1
14119;782151;Bac ES;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0910824B;Institution du Sacre Coeur;La Ville-du-Bois;91;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;30/03/2018;Oui;1
14084;393273;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0460010L;Lycée Champollion;Figeac;46;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;01/03/2018;Oui;1
14084;361701;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160010Z;Lycée Elie Vinet;Barbezieux-Saint-Hilaire;16;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;26/03/2018;Oui;1
14084;211521;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0352304P;Lycée Sevigne;Cesson-Sévigné;35;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;25/03/2018;Oui;1
101103;533781;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0470001W;Lycée Bernard Palissy;Agen;47;France;99100;STMG;Mercatique;206;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;31/03/2018;Oui;1
14084;422798;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0180008L;Lycée Pierre-Emile Martin;Bourges;18;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;24/03/2018;Oui;1
14114;861720;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0630021F;Lycée La Fayette;Clermont-Ferrand;63;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;26/03/2018;Oui;1
14119;658379;Bac ES;F;0;Non;0;Non boursier;Lycée sans classe postbac;2;0330020T;Lycée Jaufre Rudel;Blaye;33;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;30/03/2018;Oui;1
14119;656973;Bac ES;F;1;Oui;1;Boursier du secondaire;Lycée sans classe postbac;2;0130042A;Lycée Montgrand;Marseille  6e  Arrondissement;13;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;31/03/2018;Oui;1
14114;871759;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0170029P;Lycée Leonce Vieljeux;La Rochelle;17;France;99100;STI2D;Architecture et construction;337;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Architecture et construction;337;25/03/2018;Oui;1
14119;167072;Bac ES;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0870016V;Lycée Leonard Limosin;Limoges;87;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;12/02/2018;Oui;1
14084;422654;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0180008L;Lycée Pierre-Emile Martin;Bourges;18;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;09/03/2018;Oui;1
14119;436031;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0220023F;Lycée Felix Le Dantec;Lannion;22;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;26/03/2018;Oui;1
14084;347807;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0601826J;Lycée Hugues Capet;Senlis;60;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;29/03/2018;Oui;1
14084;774168;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0440001M;Lycée Polyvalent Joubert - E. Maillard;Ancenis;44;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;11/03/2018;Oui;1
14119;419590;Bac ES;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0870050G;Lycée Jean Baptiste Darnet;Saint-Yrieix-la-Perche;87;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;;Non;0
14084;251810;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;9840465H;Lycée La Mennais;Papeete;987;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;30/03/2018;Oui;1
1539;1053486;Autres candidats;F;0;Non;2;Boursier de l'enseignement supérieur;;;;;;;;;;;;Professionnelle;P;;;Artisanat et métiers d'art - option communication visuelle pluri média;299;31/03/2018;Oui;1
14114;522742;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;9720725F;Lycée Joseph Zobel;Rivière-Salée;972;France;99100;STI2D;Innovation Technologique et Eco conception;339;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;20/03/2018;Oui;1
14119;154314;Bac ES;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0230002C;Lycée Eugène JAMOT;Aubusson;23;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;29/03/2018;Oui;1
14114;265560;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160004T;Lycée Charles A. COULOMB;Angoulême;16;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;28/03/2018;Oui;1
14119;690202;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0490828J;Lycée N-D De Bonnes Nouvelles;Beaupréau-en-Mauges;49;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;29/03/2018;Oui;1
14119;707925;Bac ES;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0190058K;Lycée Bossuet;Brive-la-Gaillarde;19;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;31/03/2018;Oui;1
14084;688821;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870015U;Lycée Gay-Lussac;Limoges;87;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
14084;345383;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0754086J;Lycée Charles De Foucauld;Paris 18e  Arrondissement;75;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;31/03/2018;Oui;1
14114;764114;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0640001D;Lycée Cantau;Anglet;64;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;29/03/2018;Oui;1
14119;329629;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870017W;Lycée Auguste Renoir;Limoges;87;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14114;416940;Bac STI2D;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;27/03/2018;Oui;1
14084;167095;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870016V;Lycée Leonard Limosin;Limoges;87;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;11/03/2018;Oui;1
14084;528360;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0860035W;Lycée Camille Guérin;Poitiers;86;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;28/03/2018;Oui;1
14119;688933;Bac ES;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0870015U;Lycée Gay-Lussac;Limoges;87;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;10/03/2018;Oui;1
14084;528181;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0860035W;Lycée Camille Guérin;Poitiers;86;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;28/03/2018;Oui;1
14114;609954;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0310028M;Lycée Vincent Auriol;Revel;31;France;99100;STI2D;Innovation Technologique et Eco conception;339;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;28/03/2018;Oui;1
60249;295953;Bac Pro;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870056N;Lycée Turgot;Limoges;87;France;99100;P;Technicien d'usinage;188;Professionnelle;P;;;Technicien d'usinage;188;29/03/2018;Oui;1
101103;222984;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0920802X;Lycée Jean-Pierre Vernant;Sèvres;92;France;99100;STMG;Systèmes d'information et de gestion;538;Sciences et Technologies du Management et de la Gestion;STMG;;;Systèmes d'information et de gestion;538;30/03/2018;Oui;1
14114;430639;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0312822Z;Lycée polyvalent Charles de Gaulle;Muret;31;France;99100;STI2D;Architecture et construction;337;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Architecture et construction;337;27/03/2018;Oui;1
14118;472977;Bac L;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0170027M;Lycée René-Josué Valin;La Rochelle;17;France;99100;L;Arts plastiques;25;Littéraire;L;;;Arts plastiques;25;29/03/2018;Oui;1
14114;393304;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0460010L;Lycée Champollion;Figeac;46;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;29/03/2018;Oui;1
14084;261460;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870118F;Lycée Raoul Dautry;Limoges;87;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;28/03/2018;Oui;1
14084;1198848;Bac S;F;0;Non;0;Non boursier;;;;;;;;;;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;13/03/2018;Oui;1
14084;635236;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0720029R;Lycée Montesquieu;Le Mans;72;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
14114;622209;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0631985R;Lycée Polyvalent Pierre-Joël Bonté;Riom;63;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;25/03/2018;Oui;1
14084;546868;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0332745E;Lycée Jean Monnet;Blanquefort;33;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;30/03/2018;Oui;1
14084;418927;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0630068G;Lycée Montdory;Thiers;63;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;24/03/2018;Oui;1
14084;416841;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;29/03/2018;Oui;1
14084;232572;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0694069Y;Lycee Germaine Tillion;Sain-Bel;69;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;31/03/2018;Oui;1
14118;291960;Bac L;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0140013N;Lycée Malherbe;Caen;14;France;99100;L;Langue vivante 3;17;Littéraire;L;;;Langue vivante 3;17;28/02/2018;Oui;1
60249;1001076;Bac Pro;M;0;Non;0;Non boursier;;;;;;;;;;;;Professionnelle;P;;;Maintenance des équipements industriels;202;27/03/2018;Oui;1
1539;217651;Autres candidats;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0241137F;Lycée Jay De Beaufort;Périgueux;24;France;99100;ST2S;;;Sciences et technologies de la santé et du social;ST2S;;;;;;Non;0
14084;709957;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0160002R;Lycée Guez De Balzac;Angoulême;16;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
14114;724623;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0560182U;Lycée Jeanne d'Arc-St Ivy;Pontivy;56;France;99100;STI2D;Energies et environnement;338;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Energies et environnement;338;31/03/2018;Oui;1
14114;265393;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0160004T;Lycée Charles A. COULOMB;Angoulême;16;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
101103;429599;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190032G;Lycée Edmond Perrier;Tulle;19;France;99100;STMG;Ressources Humaines et Communication;537;Sciences et Technologies du Management et de la Gestion;STMG;;;Ressources Humaines et Communication;537;29/03/2018;Oui;1
60249;104993;Bac Pro;F;1;Oui;1;Boursier du secondaire;Lycée sans classe postbac;2;0410629L;Lycée professionnel agricole et HORTICOLE DE BLOIS;Blois;41;France;99100;PA;Technicien conseil vente en animalerie;173;Professionnelle Agricole;PA;;;Technicien conseil vente en animalerie;173;29/03/2018;Oui;1
101103;664749;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0400017B;Lycée Victor Duruy;Mont-de-Marsan;40;France;99100;STMG;Mercatique;206;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;30/03/2018;Oui;1
14114;713453;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0860037Y;Lycée Nelson Mandela;Poitiers;86;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;30/03/2018;Oui;1
14119;549547;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0380081G;Lycée Ella Fitzgerald St Romain en Gal;Vienne;38;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;28/03/2018;Oui;1
14084;429559;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0190032G;Lycée Edmond Perrier;Tulle;19;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;11/03/2018;Oui;1
14084;558936;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0400933X;Lycée Sud Des Landes;Saint-Vincent-de-Tyrosse;40;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;27/03/2018;Oui;1
14119;851180;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0870040W;Lycée Paul Eluard;Saint-Junien;87;France;99100;ES;Sciences sociales et politiques;353;Economique et social;ES;;;Sciences sociales et politiques;353;11/03/2018;Oui;1
1539;1121617;Autres candidats;M;0;Non;0;Non boursier;Université;4;0673021V;Université de Strasbourg;Strasbourg;67;France;99100;;;;DAEU;DAEU;;;DAEU-A;549;28/03/2018;Oui;1
14084;343389;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0312290W;Lycée Henri Matisse;Cugnaux;31;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;29/03/2018;Oui;1
14084;412941;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0771125E;Annexe du lycée Jacques Amyot (Melun);Neufmoutiers-en-Brie;77;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
101103;429649;Bac STMG;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0190032G;Lycée Edmond Perrier;Tulle;19;France;99100;STMG;Mercatique;206;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;29/03/2018;Oui;1
14084;520229;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0030026M;Lycée Paul Constans;Montluçon;3;France;99100;S;Physique-chimie;32;Scientifique;S;2;Sciences de l'ingénieur;Mathématiques;11;30/03/2018;Oui;1
14119;765046;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0460007H;Lycée Clement Marot;Cahors;46;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;30/03/2018;Oui;1
101103;203350;Bac STMG;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0352235P;Lycée Rene Cassin;Montfort-sur-Meu;35;France;99100;STMG;Gestion et Finance;536;Sciences et Technologies du Management et de la Gestion;STMG;;;Gestion et Finance;536;31/03/2018;Oui;1
14119;220880;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0762879S;Lycée Vallée Du Cailly;Déville-lès-Rouen;76;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;30/03/2018;Oui;1
14084;174712;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0720017C;Lycée Robert GARNIER;La Ferté-Bernard;72;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
1539;1239559;Autres candidats;M;0;Non;0;Non boursier;;;;;;;;;;;;DAEU;DAEU;;;DAEU-A;549;31/03/2018;Oui;1
14119;898034;Bac ES;F;0;Non;0;Non boursier;Lycée à classe postbac;1;9711252J;LYCEE GENERAL ET TECHNOLOGIQUE ROBERT WEINUM;Saint-Martin;971;France;99100;ES;Economie approfondie;352;Economique et social;ES;;;Economie approfondie;352;28/03/2018;Oui;1
14114;393264;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0460010L;Lycée Champollion;Figeac;46;France;99100;STI2D;Système informatique et numérique;340;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;27/03/2018;Oui;1
14114;242826;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0120006S;Lycée La Découverte;Decazeville;12;France;99100;STI2D;Innovation Technologique et Eco conception;339;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;25/03/2018;Oui;1
14084;664772;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0400017B;Lycée Victor Duruy;Mont-de-Marsan;40;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;24/03/2018;Oui;1
14084;625081;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0630069H;Lycée Jean Zay;Thiers;63;France;99100;S;Physique-chimie;32;Scientifique;S;2;Sciences de l'ingénieur;Physique-chimie;32;30/03/2018;Oui;1
14114;416714;Bac STI2D;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0240026Y;Lycée Albert Claveille;Périgueux;24;France;99100;STI2D;Innovation Technologique et Eco conception;339;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Innovation Technologique et Eco conception;339;31/01/2018;Oui;1
14084;320873;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0500017X;Lycée Alexis De Tocqueville;Cherbourg-en-Cotentin;50;France;99100;S;Mathématiques;11;Scientifique;S;1;Sciences de la Vie et de la Terre;Mathématiques;11;29/03/2018;Oui;1
14084;365145;Bac S;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0870864S;Lycée Saint-Jean;Limoges;87;France;99100;S;Sciences de la vie et de la terre;34;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;30/03/2018;Oui;1
14119;322428;Bac ES;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0860755D;Ensemble scolaire Isaac de l'Etoile Les Feuillants;Poitiers;86;France;99100;ES;Mathématiques;11;Economique et social;ES;;;Mathématiques;11;29/03/2018;Oui;1
14084;603777;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0240032E;Lycée Arnaud Daniel;Ribérac;24;France;99100;S;Physique-chimie;32;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;26/03/2018;Oui;1
14084;277124;Bac S;M;1;Oui;1;Boursier du secondaire;Lycée à classe postbac;1;0330088S;Lycée Max Linder;Libourne;33;France;99100;S;Mathématiques;11;Scientifique;S;2;Sciences de l'ingénieur;Mathématiques;11;29/03/2018;Oui;1
14084;207474;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0180024D;Lycée Jean Moulin;Saint-Amand-Montrond;18;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;28/03/2018;Oui;1
14084;740262;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0440030U;Lycée Gaspard Monge - La Chauvinière;Nantes;44;France;99100;S;Informatique et Sciences du numérique;350;Scientifique;S;2;Sciences de l'ingénieur;Informatique et Sciences du numérique;350;29/03/2018;Oui;1
14084;467112;Bac S;M;0;Non;0;Non boursier;Lycée sans classe postbac;2;0870003F;Lycée Jean-Giraudoux;Bellac;87;France;99100;S;Pas de spécialité (S.I);36;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;31/03/2018;Oui;1
