Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
14084;1015627;Bac S;M;0;Non;0;Non boursier;Université;4;0311384L;Université Toulouse 3 Paul Sabatier;Toulouse;31;France;99100;Licence - Sciences - technologies - santé;Electronique, énergie électrique, automatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;28/03/2018;Oui;1
101103;1134757;Bac STMG;F;0;Non;0;Non boursier;Lycée à classe postbac;1;0350774B;Lycée St Sauveur;Redon;35;France;99100;BTS - Services;Services informatiques aux organisations;;Sciences et Technologies du Management et de la Gestion;STMG;;;Ressources Humaines et Communication;537;21/02/2018;Oui;1
1539;1020221;Autres candidats;M;0;Non;0;Non boursier;;;;;;;;;;;;Professionnelle;P;;;Artisanat et métiers d'art - option communication visuelle pluri média;299;27/03/2018;Oui;1
14118;1020332;Bac L;F;0;Non;0;Non boursier;Université;4;0350936C;Université de Rennes 1;Rennes;35;France;99100;Licence - Droit-économie-gestion;Droit;;Littéraire;L;;;Droits et grands enjeux du monde contemporain;351;28/02/2018;Oui;1
14084;1056867;Bac S;M;0;Non;0;Non boursier;Université;4;0440984F;Université de Nantes;Nantes;44;France;99100;;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;23/03/2018;Oui;1
14118;1097610;Bac L;M;0;Non;0;Non boursier;Université;4;0171463Y;Université de La Rochelle;La Rochelle;17;France;99100;;;;Littéraire;L;;;Mathématiques;11;27/03/2018;Oui;1
14084;1114086;Bac S;M;0;Non;0;Non boursier;Lycée à classe postbac;1;093CPS01;"Creps d'ile de france	 - antenne de montreuil";Montreuil;93;France;99100;Grande école de l'internet (HETIC);;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;28/03/2018;Oui;1
14119;1108879;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0171463Y;Université de La Rochelle;La Rochelle;17;France;99100;Licence - Sciences - technologies - santé;Informatique;;Economique et social;ES;;;Mathématiques;11;31/03/2018;Oui;1
14084;1028440;Bac S;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;;;;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;30/03/2018;Oui;1
14084;1028571;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;2;Sciences de l'ingénieur;Pas de spécialité (S.I);36;31/03/2018;Oui;1
